0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,4,16,2,17,3,8,12,15,7,10,13,5,19,14,1,9,11,18,6
0,3,17,6,2,11,15,1,8,7,10,13,12,4,5,14,9,18,19,16
0,11,19,7,12,10,17,16,2,3,9,6,15,1,18,8,14,4,13,5
0,8,18,16,3,1,6,19,12,17,2,9,15,13,10,11,14,5,7,4
0,16,11,13,10,5,8,7,17,6,19,4,12,18,1,15,9,3,14,2
0,6,1,9,16,2,7,18,4,13,8,10,15,19,12,5,3,17,11,14
0,2,12,15,16,6,19,5,14,8,17,3,13,11,10,1,4,7,9,18
0,7,1,14,8,4,10,12,19,3,5,2,18,6,11,17,13,15,16,9
0,17,4,16,12,15,8,11,10,14,13,5,9,3,18,6,2,1,7,19
0,18,10,15,17,14,4,11,9,2,5,13,6,3,8,12,1,7,19,16
0,17,6,13,4,8,3,12,18,9,1,19,7,11,5,15,10,14,16,2
0,16,8,11,15,17,4,19,6,2,1,3,10,13,18,12,14,9,7,5
0,12,18,10,9,17,19,7,1,6,13,11,14,16,3,8,4,5,2,15
0,11,7,3,15,10,19,16,6,1,5,2,13,8,17,9,12,18,4,14
0,16,12,8,19,14,10,11,6,15,18,9,13,5,17,7,1,2,3,4
0,12,2,3,16,1,7,9,15,5,17,4,14,6,18,11,8,13,10,19
0,10,6,2,12,15,17,4,7,1,9,11,3,14,19,13,18,5,16,8
0,14,9,17,15,11,6,7,1,5,4,10,8,2,13,3,16,19,18,12
0,3,11,5,19,16,6,13,17,2,15,7,9,18,10,4,14,8,12,1
0,15,17,2,13,11,14,18,16,5,9,8,7,6,12,1,4,10,3,19
0,19,18,6,14,11,17,7,1,15,10,13,9,3,5,12,16,2,4,8
0,2,1,11,14,5,7,16,4,12,19,10,8,9,6,17,3,18,13,15
0,3,15,9,2,5,12,13,1,14,7,6,8,11,19,4,16,18,10,17
0,6,11,4,7,18,3,12,16,17,10,5,9,2,14,13,8,19,15,1
0,18,8,19,15,6,10,17,13,9,3,11,4,16,12,1,5,14,2,7
0,7,3,10,1,14,6,5,17,15,16,4,2,19,8,11,9,12,13,18
0,12,6,19,10,13,9,17,2,3,16,11,7,4,1,8,18,5,15,14
0,19,4,8,11,2,7,10,9,1,14,16,13,15,18,3,5,17,12,6
0,15,3,18,19,6,1,8,2,10,16,13,14,9,11,5,4,12,7,17
0,2,18,10,8,6,17,15,11,14,13,9,19,5,16,7,12,1,3,4
0,1,9,12,7,6,13,4,14,3,18,11,8,17,19,10,2,5,16,15
0,11,8,15,18,19,12,14,13,3,5,17,16,2,9,7,4,10,6,1
0,5,8,16,12,9,6,4,19,10,17,7,3,14,1,11,15,18,2,13
0,3,4,7,14,16,2,10,17,8,11,19,18,15,5,1,6,9,12,13
0,19,13,17,7,15,4,8,1,14,16,5,9,12,3,2,10,18,6,11
0,15,2,18,12,3,11,10,5,17,19,1,6,4,13,14,7,8,9,16
0,16,10,9,2,18,14,13,5,1,17,8,19,3,11,15,4,6,7,12
0,9,19,14,4,17,10,8,7,13,2,11,3,12,16,6,1,18,5,15
0,1,16,6,14,19,5,9,10,13,17,7,15,8,3,18,11,4,12,2
0,18,16,4,17,9,15,1,3,6,10,19,2,7,12,14,11,13,8,5
0,14,3,17,8,1,16,13,11,9,10,15,2,7,19,5,4,6,12,18
0,2,12,14,19,3,11,9,5,18,4,8,1,10,17,16,13,6,7,15
0,5,1,9,8,16,14,19,11,7,6,2,13,18,15,10,17,3,4,12
0,18,16,13,9,17,19,4,14,6,10,12,11,3,15,7,1,2,8,5
0,18,10,6,5,9,4,13,2,7,16,19,3,15,1,14,17,12,11,8
0,7,6,4,10,11,18,15,3,12,1,13,8,9,14,5,16,17,19,2
0,18,2,9,16,3,10,8,13,5,19,14,6,1,4,17,7,11,15,12
0,18,12,1,13,8,11,2,16,6,9,3,17,19,7,4,14,15,10,5
0,10,11,7,12,6,1,5,16,19,13,8,3,17,15,14,9,2,18,4
0,15,1,2,3,5,13,14,6,7,17,8,9,4,18,10,19,12,16,11
0,13,8,6,1,11,17,12,4,2,5,16,18,10,3,14,7,15,19,9
0,3,16,11,7,8,14,17,10,4,13,5,15,1,19,18,9,12,6,2
0,5,16,3,6,1,14,2,13,10,9,7,17,12,8,11,19,4,15,18
0,15,17,4,2,9,12,7,14,19,11,16,3,5,18,8,6,10,13,1
0,16,5,9,1,11,7,13,15,12,19,18,14,4,6,10,8,2,3,17
0,15,19,14,1,5,11,9,6,3,7,18,10,17,16,13,2,12,4,8
0,10,9,2,1,3,16,7,18,11,5,8,19,15,12,13,17,14,4,6
0,19,7,5,12,15,10,13,16,1,2,18,14,4,8,11,6,3,9,17
